,Country,Region,Year,Water Source Type,Water Treatment Method,"Cholera Cases per 100,000 people","Typhoid Cases per 100,000 people","Infant Mortality Rate (per 1,000 live births)",GDP per Capita (USD),Healthcare Access Index (0-100),Urbanization Rate (%),Sanitation Coverage (% of Population),Rainfall (mm per year),Temperature (°C),Population Density (people per km²)
1759,USA,North,2008,Well,,35,0,76.28,89857,24.53,30.84,73.32,2967,31.55,20
1760,Pakistan,West,2014,Well,Chlorination,34,23,57.64,12771,64.01,16.11,91.29,2354,2.62,725
1761,Bangladesh,North,2019,Spring,Filtration,11,75,39.9,58004,49.5,15.54,25.94,2562,15.7,728
1762,Brazil,East,2001,River,Filtration,14,61,36.88,73229,37.67,58.87,72.72,2111,38.78,518
1763,Pakistan,Central,2024,Tap,Filtration,3,77,16.78,42218,93.0,86.27,58.97,1375,2.18,194
1764,Nigeria,Central,2012,Tap,Chlorination,32,56,35.4,33207,19.3,65.62,74.92,2134,10.51,163
1765,Nigeria,South,2001,Well,Boiling,15,19,4.88,49073,48.75,68.45,45.38,2322,26.88,865
1766,Nigeria,Central,2018,Well,Boiling,28,57,51.24,9521,57.35,36.34,76.86,2929,4.02,888
1767,USA,Central,2001,Spring,,5,13,89.88,9540,32.19,56.88,34.42,386,21.47,931
1768,USA,Central,2002,Lake,Chlorination,48,77,79.94,73935,70.53,35.33,82.03,2586,28.53,703
1769,Indonesia,East,2005,River,,36,52,4.8,27052,86.73,82.13,79.95,2046,30.3,521
1770,Indonesia,Central,2002,Pond,Chlorination,22,34,88.36,4844,54.15,20.6,95.74,1612,22.45,676
1771,Bangladesh,Central,2009,Lake,Boiling,12,61,46.33,79438,78.13,60.56,33.86,1024,20.03,237
1772,Brazil,Central,2023,Lake,Filtration,43,60,20.71,7703,6.1,68.47,77.76,252,28.56,484
1773,India,North,2005,Well,Chlorination,0,18,75.74,79354,15.38,65.88,45.81,456,5.8,111
1774,India,East,2022,Well,Boiling,11,83,33.64,5940,46.2,30.59,42.55,1795,27.22,703
1775,Pakistan,South,2015,Well,Boiling,26,41,26.83,43709,92.1,48.88,52.13,2293,36.77,267
1776,Nigeria,North,2016,Lake,Boiling,24,43,17.81,3392,53.16,63.07,42.82,214,27.31,992
1777,Brazil,West,2018,River,Filtration,21,86,49.69,86044,43.23,84.48,39.86,2875,1.86,786
1778,Ethiopia,East,2002,Well,Boiling,33,97,11.15,7187,60.01,49.97,81.47,211,20.24,81
1779,USA,East,2017,Tap,,17,0,78.99,24307,12.45,34.04,75.96,2248,29.05,508
1780,Mexico,West,2006,River,Boiling,40,67,48.13,81425,65.37,40.92,28.75,2324,1.73,369
1781,China,West,2008,Tap,Boiling,15,80,45.8,30652,9.4,53.31,64.81,741,30.49,893
1782,Bangladesh,West,2019,River,Chlorination,28,89,2.18,26375,57.68,88.11,46.48,1195,11.26,841
1783,Nigeria,South,2011,Well,Chlorination,29,77,82.15,96588,71.44,60.27,97.68,249,23.55,250
1784,Nigeria,Central,2004,Pond,Chlorination,29,45,50.3,35439,41.15,22.38,54.0,1865,38.65,124
1785,Nigeria,East,2002,Spring,Boiling,19,50,45.11,29439,91.09,77.45,23.25,1229,39.8,586
1786,USA,Central,2010,Well,Boiling,46,31,76.62,8969,15.2,24.52,46.54,2322,25.38,798
1787,USA,Central,2024,Lake,,21,99,8.16,83443,17.1,13.1,45.02,545,19.66,419
1788,China,West,2003,Pond,Filtration,41,83,37.93,62015,51.69,18.02,20.45,2580,7.11,664
1789,Ethiopia,South,2004,Lake,Boiling,33,79,58.42,70657,93.17,72.89,59.02,2925,8.33,436
1790,Brazil,North,2000,River,Filtration,3,18,47.14,78941,39.07,82.15,92.46,2515,17.17,738
1791,Nigeria,South,2017,Lake,Boiling,49,38,19.8,91811,92.64,31.46,84.19,1703,28.09,688
1792,India,Central,2011,Pond,Filtration,30,87,31.33,84137,69.35,49.85,74.77,1531,30.77,537
1793,Indonesia,South,2012,Pond,Chlorination,49,13,31.42,56855,78.26,57.78,47.48,1940,8.88,556
1794,India,West,2008,Well,Boiling,13,28,99.21,51632,93.79,43.5,38.56,2846,21.42,800
1795,Pakistan,North,2001,Tap,,7,41,33.97,99073,57.23,15.23,47.41,811,23.66,149
1796,India,West,2004,Well,Filtration,36,13,22.11,53749,64.17,14.53,29.84,2945,35.72,961
1797,Pakistan,North,2012,River,Chlorination,4,10,82.62,63219,57.9,45.23,27.96,1445,35.06,761
1798,Mexico,Central,2015,Lake,,7,74,43.27,19504,78.49,73.83,65.96,2525,32.7,317
1799,Indonesia,North,2015,Tap,Chlorination,10,46,45.5,91998,27.34,16.77,85.12,884,20.67,796
1800,India,North,2023,Spring,Boiling,28,23,55.79,71262,78.8,26.45,27.95,2565,2.6,875
1801,Mexico,North,2002,Pond,,20,21,60.38,5753,71.35,31.58,46.81,342,13.38,967
1802,Bangladesh,South,2021,Tap,Filtration,38,48,59.87,9226,60.21,54.73,29.82,2149,24.87,401
1803,Brazil,South,2003,Tap,Filtration,12,54,5.38,59452,3.88,13.46,44.84,353,25.5,636
1804,Mexico,Central,2010,Well,,48,54,82.25,89615,77.45,78.8,86.42,577,33.96,96
1805,Brazil,North,2022,Spring,Filtration,18,84,21.1,87052,13.24,47.66,22.79,1830,15.18,148
1806,India,East,2013,Pond,Chlorination,2,69,30.65,60758,96.2,48.82,71.78,733,37.46,388
1807,Ethiopia,Central,2002,River,,33,77,19.0,40500,8.15,36.12,24.79,2884,6.53,52
1808,Mexico,North,2015,River,Filtration,37,72,77.17,46773,72.03,26.96,54.12,2228,1.99,875
1809,Indonesia,North,2021,Tap,Chlorination,18,34,59.2,97986,36.04,39.09,57.92,892,7.07,78
1810,India,South,2014,Tap,Filtration,31,43,76.02,48926,73.57,83.07,52.12,2090,18.49,686
1811,Nigeria,Central,2009,Lake,Chlorination,46,35,66.03,30235,51.9,17.54,70.99,986,32.92,162
1812,USA,North,2008,Spring,Boiling,35,88,12.21,66058,62.95,14.86,97.89,2409,6.15,481
1813,Mexico,North,2010,Pond,Chlorination,38,14,31.55,42148,7.54,19.16,41.38,665,21.93,673
1814,Indonesia,Central,2015,Tap,Filtration,13,44,51.71,33019,96.65,72.16,68.78,2525,31.06,627
1815,Bangladesh,East,2009,Lake,Chlorination,6,61,31.88,1786,0.38,13.87,48.4,2719,1.39,299
1816,Nigeria,Central,2016,Spring,Filtration,19,91,22.32,69896,94.12,36.65,99.96,340,1.66,504
1817,Bangladesh,Central,2018,Pond,,31,49,87.24,76310,56.83,43.99,96.08,1927,19.62,859
1818,India,East,2001,River,,45,77,75.28,11226,25.83,50.57,27.47,2191,7.31,917
1819,USA,Central,2023,Lake,Boiling,30,12,35.83,62040,63.77,10.26,97.89,1009,18.02,947
1820,Mexico,North,2022,Spring,Chlorination,21,30,76.97,95318,67.29,48.94,79.06,1470,1.76,880
1821,Mexico,Central,2001,Lake,Boiling,4,4,63.5,95813,73.03,25.59,99.39,902,39.07,600
1822,Ethiopia,East,2005,Tap,,30,82,2.37,26416,1.64,17.83,81.68,369,26.17,120
1823,Ethiopia,West,2018,Well,Chlorination,14,7,39.27,80326,98.28,52.66,30.31,2466,27.47,277
1824,India,Central,2007,River,Chlorination,43,12,30.47,2877,61.79,69.53,80.04,2281,20.39,422
1825,India,South,2002,Tap,Boiling,16,40,23.36,25271,37.75,84.78,78.13,2532,33.0,486
1826,USA,North,2013,Tap,Boiling,36,16,26.66,93073,57.07,83.01,33.34,1633,33.34,669
1827,Ethiopia,North,2024,Spring,Chlorination,18,31,94.35,49504,17.84,41.92,80.25,1630,6.36,344
1828,Indonesia,South,2015,Lake,Chlorination,9,4,49.66,55280,24.73,66.32,73.98,1259,30.74,396
1829,Indonesia,South,2000,River,Chlorination,43,8,85.08,75732,8.58,65.65,99.56,464,22.67,345
1830,USA,Central,2020,Tap,Boiling,33,33,22.99,51767,87.92,42.97,69.5,1052,30.5,838
1831,Indonesia,South,2002,Spring,Filtration,48,0,19.09,22302,25.16,17.86,53.17,1963,36.75,476
1832,Pakistan,West,2021,River,,24,39,89.1,85338,73.97,40.56,96.31,206,13.4,592
1833,Brazil,East,2017,Lake,,36,78,50.58,45484,27.42,89.39,70.23,222,22.84,250
1834,USA,South,2008,Tap,Boiling,27,53,89.72,25946,14.6,54.4,47.89,1639,31.5,237
1835,USA,South,2005,Pond,Chlorination,14,31,8.18,31360,10.81,37.31,21.68,2782,39.47,671
1836,China,West,2022,Tap,,19,97,91.81,90796,86.02,69.51,80.53,2316,24.5,984
1837,Nigeria,North,2020,Tap,,12,98,42.71,75917,11.97,64.91,29.56,212,28.85,82
1838,Nigeria,North,2024,River,,19,49,17.23,83632,8.71,56.3,93.89,1983,33.85,538
1839,Pakistan,Central,2000,River,,42,58,68.97,12337,0.94,60.99,96.91,2505,30.05,106
1840,Ethiopia,West,2020,River,Chlorination,30,91,80.1,62982,36.64,56.8,38.91,2967,37.69,267
1841,India,East,2009,River,Boiling,17,80,6.64,39492,94.27,86.5,29.02,1147,9.19,272
1842,India,East,2005,Spring,Chlorination,40,61,98.75,9189,90.86,50.73,67.63,2045,36.31,232
1843,Bangladesh,West,2022,Well,Chlorination,47,10,70.31,2065,11.51,57.22,37.1,1251,8.28,535
1844,Pakistan,East,2011,Spring,,27,22,33.5,25293,1.25,47.73,63.35,2892,22.61,494
1845,USA,North,2003,Tap,,46,25,16.83,5120,75.1,58.02,53.14,2067,20.92,269
1846,Pakistan,East,2012,Spring,Chlorination,3,62,40.47,65700,30.65,81.27,83.36,613,33.25,694
1847,Pakistan,East,2016,Lake,Chlorination,23,45,23.62,26437,83.47,37.18,99.99,2010,15.94,200
1848,Pakistan,West,2007,Pond,Chlorination,43,68,50.43,83925,21.54,49.67,56.54,1327,5.73,275
1849,Nigeria,West,2019,River,Filtration,44,89,78.63,88742,49.22,45.89,74.8,2912,28.27,566
1850,Pakistan,East,2002,Lake,,8,5,66.69,59900,3.29,41.84,47.34,2983,24.27,991
1851,Brazil,South,2011,Pond,Boiling,46,50,44.72,45777,89.47,75.68,89.0,639,33.08,225
1852,India,West,2006,Lake,Boiling,49,42,13.66,25872,17.8,28.56,22.96,2006,30.35,309
1853,Bangladesh,Central,2011,Tap,Boiling,31,97,95.8,5456,29.47,49.99,59.48,308,35.79,704
1854,Brazil,Central,2001,River,Filtration,31,41,28.5,61894,47.97,83.97,34.14,2677,33.56,155
1855,Bangladesh,North,2023,Lake,Filtration,38,12,29.23,12411,27.13,22.9,34.15,1644,27.44,532
1856,China,East,2013,Tap,Boiling,20,24,65.26,81732,4.02,10.37,62.64,2593,18.63,763
1857,Bangladesh,South,2021,River,Boiling,43,1,77.51,51903,2.91,31.22,44.62,580,0.81,191
1858,India,North,2022,Well,Boiling,41,13,98.45,7170,95.52,83.78,56.72,1727,12.3,501
1859,India,East,2004,Tap,Chlorination,38,16,96.98,60344,32.55,17.01,44.45,1795,29.1,138
1860,Pakistan,West,2008,Spring,,45,39,91.55,63637,33.44,20.97,56.41,2821,2.38,574
1861,Mexico,Central,2020,River,Filtration,26,38,44.66,98727,92.29,35.63,42.87,1766,30.26,873
1862,China,South,2010,Lake,Filtration,46,24,18.33,23973,83.62,71.58,84.28,2405,20.66,729
1863,USA,Central,2004,Pond,Chlorination,35,90,59.28,47798,68.69,70.1,64.63,1582,34.71,727
1864,Indonesia,West,2002,Lake,Filtration,7,47,3.69,21845,65.85,16.97,32.91,822,26.39,42
1865,Bangladesh,East,2016,Spring,Boiling,18,87,21.23,26108,80.11,84.71,20.68,749,31.94,400
1866,Mexico,West,2001,Spring,Filtration,28,48,2.25,45304,16.89,29.11,21.4,2971,6.86,92
1867,Pakistan,West,2023,Lake,Chlorination,18,32,19.69,10786,66.43,32.45,53.74,1626,6.92,34
1868,Nigeria,Central,2000,Pond,,4,26,48.53,79136,9.84,40.91,45.13,2896,8.44,462
1869,USA,South,2006,River,Boiling,21,44,40.55,17372,12.65,60.76,40.97,2151,13.33,442
1870,Ethiopia,West,2013,Tap,Filtration,34,30,38.19,42805,24.28,51.7,69.83,2917,36.18,83
1871,Mexico,Central,2004,Spring,Boiling,9,62,83.43,42250,70.98,84.29,85.06,333,30.97,653
1872,Nigeria,South,2018,Spring,,14,37,68.15,89685,89.25,55.17,25.07,900,14.59,673
1873,China,East,2010,Spring,Filtration,1,78,93.77,44976,69.08,78.56,28.8,1900,36.74,439
1874,Pakistan,East,2022,Pond,Boiling,41,39,45.64,45648,41.66,16.26,49.5,2838,31.16,512
1875,USA,North,2024,Well,Chlorination,21,57,28.68,92446,51.37,78.47,55.32,1475,26.24,975
1876,USA,Central,2001,Pond,Chlorination,47,64,14.02,89142,71.23,25.82,51.62,2190,17.46,898
1877,USA,South,2007,River,,34,10,67.86,78461,61.33,39.0,71.09,405,26.07,517
1878,China,West,2008,River,,38,14,84.49,94067,52.95,35.59,26.98,2395,23.73,405
1879,Bangladesh,East,2002,River,,18,96,20.01,54059,23.68,36.98,59.58,707,31.27,711
1880,Ethiopia,South,2001,River,Filtration,46,56,88.12,72469,61.7,83.49,84.94,729,9.02,861
1881,China,Central,2006,River,,11,95,53.58,80436,1.87,45.33,94.28,2438,35.42,227
1882,Indonesia,North,2004,Lake,Filtration,33,24,16.12,73977,56.01,31.44,64.83,2180,23.67,469
1883,Ethiopia,East,2020,Spring,Boiling,44,38,65.0,85689,82.07,33.55,31.07,605,32.27,327
1884,India,South,2004,Pond,Chlorination,19,32,52.97,20483,17.98,74.27,78.2,287,13.89,746
1885,Pakistan,South,2019,Lake,Boiling,6,28,4.76,46516,11.42,53.13,83.71,806,15.68,327
1886,China,South,2012,Pond,Chlorination,23,57,41.13,16760,97.02,45.96,35.7,1656,37.49,597
1887,Nigeria,Central,2020,Well,,2,97,78.91,88076,84.35,84.15,74.2,473,24.88,451
1888,Ethiopia,Central,2019,Tap,Boiling,5,71,56.43,34541,30.2,84.4,94.44,260,12.71,175
1889,Indonesia,Central,2005,Spring,Boiling,32,10,29.64,66574,20.86,70.49,77.51,281,3.29,461
1890,India,West,2019,Well,,33,12,93.01,45213,33.4,51.44,53.25,1301,17.37,154
1891,Bangladesh,South,2017,Lake,Boiling,32,68,25.3,70248,43.12,19.33,55.42,1544,33.96,531
1892,Nigeria,East,2024,Tap,Filtration,28,82,26.77,85359,82.11,66.64,26.36,735,10.06,476
1893,Ethiopia,Central,2001,Well,Chlorination,22,20,36.75,27690,23.92,75.21,62.09,2919,34.41,692
1894,Pakistan,Central,2024,Pond,,3,2,89.66,99289,72.08,78.16,84.21,1489,6.47,298
1895,Nigeria,South,2005,Tap,Filtration,4,25,51.75,18270,92.93,56.55,98.28,1098,5.2,46
1896,India,Central,2008,Pond,Filtration,33,32,68.85,50701,37.95,59.35,51.94,307,24.23,641
1897,Nigeria,West,2024,Well,,15,93,97.67,99587,2.6,66.74,54.83,1804,32.19,421
1898,Brazil,West,2002,Lake,Boiling,39,21,78.76,11751,82.76,79.91,24.38,1221,31.2,695
1899,Mexico,Central,2000,Pond,Chlorination,46,61,18.91,90189,70.84,13.63,82.01,2643,21.74,886
1900,Bangladesh,South,2000,Tap,Filtration,42,4,79.26,88032,14.91,55.06,77.33,2080,25.55,395
1901,India,South,2018,Well,Boiling,41,18,75.34,32655,59.69,39.53,52.23,728,10.33,901
1902,Nigeria,South,2004,Pond,,2,8,24.8,63439,82.48,76.65,76.74,2581,22.05,951
1903,Mexico,North,2012,Lake,,42,57,33.88,95121,18.1,20.7,69.84,2474,8.31,431
1904,Mexico,Central,2018,Spring,Chlorination,48,23,71.59,8561,22.29,82.78,81.52,1415,37.13,47
1905,Nigeria,South,2011,Lake,,41,38,25.36,40557,20.18,19.92,45.13,520,27.12,542
1906,Pakistan,West,2015,Lake,Chlorination,48,75,22.4,24908,99.75,17.15,72.07,541,22.59,928
1907,Brazil,East,2024,Spring,,13,60,70.94,18688,22.95,37.72,70.05,1251,9.89,170
1908,China,East,2024,Lake,,32,47,88.3,23279,26.69,89.58,27.24,2265,16.36,227
1909,Brazil,South,2018,Spring,Filtration,27,90,9.35,91710,4.79,60.7,42.48,832,31.21,253
1910,Nigeria,East,2002,Spring,Boiling,40,49,45.7,25187,98.33,12.12,88.82,2740,9.58,52
1911,Bangladesh,East,2011,Pond,Filtration,14,61,61.5,24714,24.68,29.94,32.49,1738,5.15,127
1912,China,North,2004,Pond,Chlorination,3,52,68.28,67005,72.52,21.93,50.37,2517,12.29,615
1913,India,West,2001,Spring,Filtration,19,20,99.63,84053,2.64,10.08,38.02,1198,31.78,333
1914,Brazil,West,2021,Well,,24,37,68.9,21746,78.34,51.2,31.21,2382,35.32,207
1915,Nigeria,North,2006,Tap,,34,98,62.78,34186,75.06,40.49,30.91,2759,16.57,491
1916,Brazil,North,2012,Well,Boiling,38,95,98.99,17051,8.42,59.06,47.84,2648,31.25,260
1917,China,East,2024,Spring,Chlorination,21,58,7.95,20205,12.26,27.31,84.28,1718,13.29,713
1918,Indonesia,Central,2014,Tap,,34,99,9.29,94515,29.51,76.48,97.31,1306,20.35,477
1919,Ethiopia,East,2021,Pond,Boiling,46,96,56.95,60649,35.47,40.65,65.75,1942,0.81,841
1920,Brazil,North,2002,Tap,Boiling,27,42,37.15,92872,78.35,48.63,70.82,1902,28.48,134
1921,India,West,2020,Spring,,9,16,11.48,16302,6.12,68.6,82.3,844,28.75,558
1922,India,East,2019,Pond,,15,68,32.03,63891,65.02,23.29,72.94,278,4.01,600
1923,USA,Central,2004,Tap,Chlorination,48,43,68.09,11531,22.85,30.99,87.87,1531,14.35,512
1924,Brazil,East,2023,Tap,Boiling,22,83,88.3,55841,38.25,22.38,90.72,2868,19.34,113
1925,Ethiopia,South,2007,Well,Boiling,18,62,11.24,22021,0.22,71.45,70.22,1249,30.96,672
1926,Pakistan,East,2021,Tap,Boiling,0,22,54.93,87394,29.11,17.8,62.65,2414,32.94,243
1927,Mexico,North,2000,Spring,Chlorination,0,67,31.02,25833,17.13,49.12,51.28,884,28.77,82
1928,Ethiopia,West,2007,River,Boiling,45,25,67.4,65231,50.4,69.99,56.93,1766,8.63,43
1929,Mexico,West,2023,River,Filtration,25,93,55.85,38051,15.82,50.62,47.64,660,14.25,372
1930,Mexico,North,2017,River,Filtration,33,47,92.82,37761,83.58,50.69,54.16,1263,9.89,171
1931,Indonesia,South,2019,Spring,Boiling,1,46,5.69,2473,88.29,15.09,91.98,999,25.49,932
1932,USA,North,2015,River,Filtration,27,45,48.06,11400,84.53,72.63,97.79,971,25.89,729
1933,Ethiopia,East,2017,Well,Filtration,19,28,20.89,49749,98.18,58.32,48.92,1563,0.65,269
1934,Ethiopia,North,2019,Spring,Chlorination,41,33,54.6,19960,91.46,63.4,37.65,2421,29.27,485
1935,Indonesia,North,2011,Pond,Boiling,46,9,85.65,92531,27.98,71.26,26.26,2834,9.18,346
1936,Brazil,South,2012,Spring,Chlorination,26,19,91.31,2706,31.45,54.85,86.95,2801,32.06,498
1937,Brazil,East,2012,Spring,Boiling,27,87,41.03,57782,53.27,50.69,89.65,366,33.31,725
1938,Brazil,Central,2009,Tap,,30,33,81.55,66122,38.5,63.05,56.04,2445,31.88,206
1939,Bangladesh,Central,2006,Tap,Filtration,46,12,29.49,10458,96.99,82.0,63.39,2687,16.32,239
1940,Mexico,West,2024,Tap,Chlorination,6,86,2.62,11883,33.95,61.08,79.19,758,13.93,109
1941,Bangladesh,North,2013,Lake,Chlorination,7,9,85.81,69713,74.01,73.07,50.07,1753,17.4,615
1942,USA,West,2023,Well,,31,85,13.7,25757,57.54,48.42,36.12,713,21.09,72
1943,Indonesia,South,2015,Spring,,10,44,3.73,80606,95.65,57.17,29.17,1325,10.0,343
1944,Ethiopia,Central,2014,Spring,Filtration,47,77,36.67,73681,74.45,24.41,38.82,1405,37.27,919
1945,Mexico,North,2011,Tap,Filtration,25,88,39.18,45676,30.36,49.08,71.63,2661,20.16,715
1946,Bangladesh,South,2008,Spring,Boiling,24,81,9.57,78820,19.71,21.91,47.81,2738,2.93,293
1947,Bangladesh,South,2007,Pond,Boiling,6,83,81.79,27545,85.46,47.36,89.42,1995,39.89,798
1948,Nigeria,North,2017,Spring,,19,91,41.75,8826,91.1,15.2,27.0,1792,19.36,728
1949,Bangladesh,South,2022,River,Filtration,40,7,50.01,29486,83.11,56.1,53.31,2789,37.88,885
1950,Pakistan,North,2017,Pond,Filtration,29,4,27.93,10937,73.74,32.94,40.56,2498,15.61,608
1951,Ethiopia,North,2012,Pond,,0,84,52.13,53441,32.17,77.33,91.02,1956,8.99,147
1952,Pakistan,East,2017,Spring,,17,19,77.14,94718,50.54,40.1,84.5,2931,29.48,547
1953,Ethiopia,West,2014,Lake,Chlorination,7,43,90.81,13656,91.57,83.42,98.74,444,17.3,428
1954,Indonesia,South,2003,Tap,,28,79,97.11,28277,13.49,47.83,29.54,687,35.26,299
1955,Ethiopia,South,2016,Well,Chlorination,39,57,43.82,25810,49.49,77.91,82.58,1966,18.58,779
1956,Pakistan,East,2004,Well,Boiling,21,19,99.02,20355,35.55,33.78,30.07,2148,13.53,436
1957,Ethiopia,East,2021,River,,31,88,30.91,71475,67.75,46.13,32.4,235,38.67,693
1958,Indonesia,East,2015,Well,,39,70,2.68,36533,63.41,60.69,23.14,568,33.21,760
1959,Indonesia,Central,2008,Well,,13,88,77.23,68004,56.01,30.69,57.18,1158,8.22,437
1960,USA,Central,2009,Tap,Chlorination,1,99,19.49,61955,27.96,62.59,30.07,457,19.55,52
1961,Ethiopia,Central,2023,Tap,,34,73,7.14,52796,15.96,33.09,47.87,700,4.53,317
1962,Nigeria,North,2017,Lake,,6,39,92.55,79975,78.43,48.74,42.1,853,4.31,631
1963,Brazil,South,2016,River,Filtration,2,15,79.6,34492,99.17,11.87,98.11,2967,34.14,910
1964,India,West,2017,Well,Filtration,14,3,12.06,41080,16.91,16.25,72.66,1835,37.27,156
1965,Indonesia,North,2006,Lake,Filtration,42,9,78.14,34455,7.58,28.17,52.84,678,29.55,644
1966,China,South,2003,River,,33,50,84.71,81747,74.57,74.52,90.28,439,39.57,935
1967,Brazil,South,2004,Pond,Filtration,21,47,90.72,87440,34.39,62.83,25.11,2615,1.81,826
1968,Mexico,East,2022,Well,Boiling,17,94,55.28,27608,21.3,81.48,46.74,2396,13.26,390
1969,Ethiopia,East,2015,Well,Filtration,45,75,70.93,29803,52.51,82.38,61.17,931,5.28,760
1970,Pakistan,North,2002,Tap,,17,19,76.7,61366,67.52,39.97,24.31,600,31.28,712
1971,India,East,2017,Spring,Filtration,33,31,69.49,59281,21.48,39.4,31.67,793,35.62,125
1972,China,South,2022,River,Filtration,35,65,65.39,50587,99.45,76.86,91.6,487,17.88,474
1973,Brazil,East,2020,Well,Filtration,45,59,55.66,24082,32.82,44.12,34.37,1886,33.17,678
1974,Ethiopia,Central,2013,River,Boiling,38,10,48.96,91171,31.5,78.58,93.73,333,33.9,853
1975,USA,East,2014,Lake,Boiling,46,19,99.62,45646,42.3,50.47,27.69,2020,5.59,977
1976,Mexico,South,2016,Lake,Chlorination,37,22,35.08,38905,74.5,43.98,91.06,2054,15.08,216
1977,India,North,2000,Spring,,36,76,10.65,25521,87.33,32.33,56.3,1677,7.52,62
1978,Nigeria,West,2024,Well,Boiling,17,34,76.97,1808,32.4,20.12,65.86,424,26.8,107
1979,USA,East,2020,Tap,Boiling,42,16,22.95,65607,11.87,52.07,42.53,2884,15.49,37
1980,China,South,2016,Well,Boiling,39,9,54.2,18789,25.61,36.02,41.87,2231,26.71,222
1981,India,West,2022,River,,28,37,11.39,96518,8.43,29.96,59.37,807,35.04,958
1982,USA,West,2024,Pond,Chlorination,11,77,62.69,58173,63.03,23.57,48.46,1099,16.51,666
1983,Mexico,Central,2010,Lake,,17,82,94.51,89720,74.07,41.09,26.22,1025,38.88,766
1984,Nigeria,West,2016,River,Filtration,30,31,72.83,8282,42.93,54.47,48.29,2150,16.34,257
1985,USA,South,2013,Spring,Chlorination,14,53,23.02,20562,95.28,76.96,40.38,610,8.55,499
1986,Bangladesh,South,2019,Lake,Filtration,39,96,97.17,26629,72.75,75.62,87.97,573,21.17,859
1987,Nigeria,East,2018,Tap,Boiling,29,56,32.09,30216,37.97,78.41,87.08,2332,15.96,545
1988,China,East,2020,Lake,,35,88,44.79,72066,10.22,56.1,31.32,283,5.0,774
1989,Mexico,East,2006,Pond,Filtration,27,24,50.82,3083,49.37,54.76,78.41,681,0.93,865
1990,Ethiopia,West,2023,Well,Chlorination,14,13,99.09,43732,50.38,82.41,56.07,471,29.76,341
1991,Pakistan,West,2012,Pond,Filtration,42,44,8.75,76847,55.06,33.08,89.48,2253,37.31,970
1992,Pakistan,Central,2017,Pond,Filtration,32,43,70.28,22735,68.24,21.64,41.92,718,17.62,45
1993,Pakistan,East,2022,Well,Boiling,1,37,37.47,24381,26.44,16.62,27.05,2261,2.62,937
1994,India,North,2013,Lake,Filtration,7,35,9.68,69954,0.25,80.48,84.04,1960,29.63,206
1995,China,Central,2000,Spring,Filtration,47,87,93.63,14369,81.28,39.74,89.47,1016,34.68,419
1996,Mexico,North,2006,Well,Boiling,32,38,59.81,7011,82.35,49.9,87.24,686,12.95,193
1997,Nigeria,West,2007,Well,Chlorination,34,38,75.84,14616,91.16,74.24,46.34,996,8.88,76
1998,India,Central,2017,Tap,Boiling,17,12,25.56,36481,96.9,39.85,22.47,2734,13.48,42
1999,China,Central,2008,Lake,Filtration,25,65,76.63,69923,15.92,79.44,31.17,1391,36.33,176
2000,Ethiopia,South,2000,Well,,47,33,83.19,57409,35.39,35.74,93.55,1136,16.72,349
2001,Bangladesh,West,2021,Spring,Boiling,20,14,44.22,67258,85.14,68.59,49.13,2653,26.17,707
2002,Mexico,West,2016,River,Boiling,27,57,58.05,71782,93.4,63.39,90.42,662,2.97,533
2003,Pakistan,Central,2018,Lake,Filtration,19,58,97.24,85527,1.45,26.11,98.47,2379,11.26,254
2004,USA,West,2005,Tap,,44,65,84.98,84933,38.75,19.96,51.66,705,9.12,495
2005,Mexico,Central,2002,Pond,Chlorination,19,51,45.6,62377,11.34,18.92,82.12,2201,2.5,605
2006,Indonesia,South,2023,Well,,3,88,67.13,21736,78.85,62.07,33.53,2880,4.82,858
2007,China,Central,2004,Spring,Boiling,35,68,78.85,14932,74.71,11.04,50.7,2483,16.66,52
2008,Brazil,West,2001,Lake,,33,97,4.38,60395,75.43,62.85,76.41,222,22.32,977
2009,Ethiopia,West,2019,Spring,Chlorination,44,4,59.66,28514,39.02,72.56,36.57,813,12.48,628
2010,Bangladesh,Central,2024,Spring,,12,42,98.48,82211,40.62,34.2,45.58,651,16.78,534
2011,Ethiopia,Central,2003,Pond,,30,7,94.82,71019,26.19,69.66,65.11,473,30.38,466
2012,Mexico,Central,2009,Tap,,38,77,83.58,76425,36.09,23.23,75.3,1224,9.89,860
2013,Brazil,East,2009,Lake,Boiling,6,92,12.41,86558,98.31,86.84,48.55,2908,1.36,611
2014,Indonesia,West,2023,Well,Filtration,16,93,99.42,18204,4.66,28.57,50.14,365,10.28,125
2015,Nigeria,West,2020,Tap,Filtration,41,62,61.73,46468,32.4,49.07,28.79,2657,36.86,910
2016,USA,East,2010,Well,,11,67,23.85,19250,78.99,88.44,98.72,496,0.72,115
2017,Brazil,Central,2015,River,Boiling,29,34,68.08,61634,38.23,82.57,68.98,2226,5.16,694
2018,China,South,2016,Spring,Boiling,47,70,85.94,68571,95.0,62.76,62.43,1316,2.6,354
2019,Pakistan,Central,2015,River,Boiling,33,89,13.01,88709,33.21,39.54,36.91,1136,15.08,398
2020,Indonesia,Central,2006,Spring,Filtration,21,31,91.81,52027,84.98,66.01,59.04,295,25.91,544
2021,USA,East,2015,Pond,Boiling,20,96,92.18,78442,81.51,46.82,55.78,770,36.41,812
